Designator,Mid X,Mid Y,Rotation,Layer
C1,123.5,-68.5,180.0,top
C2,127.5375,-68.5,0.0,top
C3,123.5,-76.0,0.0,top
D1,117.0,-60.5,0.0,top
D2,124.0,-78.0,180.0,top
D3,126.484,-88.950001,270.0,top
F1,118.5,-70.5,90.0,top
F2,118.5,-89.0,0.0,top
J1,106.9,-62.7425,90.0,top
J10,135.147056,-96.67125,270.0,top
J2,106.9,-75.6925,90.0,top
J3,106.9,-88.6425,90.0,top
J4,105.75,-98.8075,0.0,top
J5,105.75,-108.125,0.0,top
J6,134.247056,-108.125,0.0,top
J7,135.147056,-64.875,270.0,top
J8,135.147056,-75.47375,270.0,top
J9,135.147056,-86.0725,270.0,top
R1,128.0,-117.0,180.0,top
R2,112.0,-117.0,0.0,top
R3,128.0,-52.0,180.0,top
R4,112.0,-52.0,0.0,top
R5,127.450001,-79.8876,180.0,top
R6,126.5,-84.0,180.0,top
R7,118.5,-64.525,90.0,top
U3,125.5,-62.5,90.0,top
U4,127.450001,-74.6938,270.0,top
